,,,,
,,,,
Nombre del indicador,"Niñas, niños y adolescentes de 0 a 17 años desaparecidos (as) y no localizados (as)",,,
Dominio,Protección,,,
Derecho,Vida libre de violencia e integridad personal,,,
Dimensión,Violencia y maltrato,,,
Unidad de medida,Número de personas,,,
Indicador según fuente oficial,"Niñas, niños y adolescentes desaparecidos (as) y no localizados (as)",,,
Fuente,Estimaciones de la SE-SIPINNA con base en datos del Registro Nacional de Personas Desaparecidas y ,,,
,no localizadas (RNPDNO) 2018-2022,,,
,,,,
"Definición: Número de niñas, niños y adolescentes en condición de desaparecidos o no localizados según las actas levantadas ante la",,,,
"Comisión Nacional de Búsqueda Personas desaparecida: Es una persona que no se sabe dónde está y que, de acuerdo a la información",,,,
"disponible, puede estar siendo o haber sido víctima de un delito. Persona no localizada:  Es una persona que no se sabe dónde está ",,,,
pero nada indica que esté siendo víctima de un delito.,,,,
,,,,
Nota: La ficha del metadato no se encuentra disponible ,,,,
,,,,
"Niñas, niños y adolescentes de 0 a 17 años desaparecidos (as) y no localizados (as) en Morelos por municipio durante el periodo 2018-2022.",,,,Desagregación
,,,,Sexo
Clave_Geográfica,Año,Nombre_Geográfica,Hombre,Mujer
17007,2018-2022,Cuernavaca,68,175
17011,2018-2022,Jiutepec,37,75
17018,2018-2022,Temixco,32,68
17006,2018-2022,Cuautla,30,58
17019,2018-2022,Tepalcingo,17,35
17028,2018-2022,Xochitepec,17,35
17008,2018-2022,Emiliano Zapata,16,31
17029,2018-2022,Yautepec,9,28
17017,2018-2022,Puente de Ixtla,12,19
17024,2018-2022,Tlaltizapán,10,18
17020,2018-2022,Tepoztlán,11,16
17012,2018-2022,Jojutla,8,14
17031,2018-2022,Zacatepec,7,9
17002,2018-2022,Atlatlahucan,4,11
17030,2018-2022,Yecapixtla,7,8
17004,2018-2022,Ayala,4,9
17025,2018-2022,Tlaquiltenango,7,5
17009,2018-2022,Huitzilac,1,10
17015,2018-2022,Miacatlán,4,7
17021,2018-2022,Tetecala,6,3
17026,2018-2022,Tlayacapan,2,6
17001,2018-2022,Amacuzac,4,2
17003,2018-2022,Axochiapan,1,5
17013,2018-2022,Jonacatepec,2,4
17010,2018-2022,Jantetelco,1,3
17027,2018-2022,Totolapan,1,3
17014,2018-2022,Mazatepec,0,3
17005,2018-2022,Coatlán del Río,0,2
17016,2018-2022,Ocuituco,0,0
17022,2018-2022,Tetela del Volcán,0,0
17023,2018-2022,Tlalnepantla,0,0
17032,2018-2022,Zacualpan,0,0
17033,2018-2022,Temoac,0,0
17034,2018-2022,Coatetelco,0,0
17035,2018-2022,Xoxocotla,0,0
17036,2018-2022,Hueyapan,0,0
17,2018-2022,Morelos,318,662
,,,,Nota: Última vez consultado el 06 de junio de 2023
